po_number,order_date,part_number,part_family,complexity,supplier_id,quantity_ordered,total_value,nominal_lead_time,actual_lead_time,on_time_to_commit,external_factors,critical_part
PO_000018,2024-01-10,FORG_0356,Forgings,Low,SUP_FORG_002,15,12755.77,59,126,True,"Chinese_New_Year,Tariff_Impact",False
PO_000019,2022-01-07,FORG_0377,Forgings,Low,SUP_FORG_002,84,69184.34,56,187,True,"Weather_Disruption,Semiconductor_Shortage",False
PO_000020,2022-10-22,CAST_0306,Castings,Medium,SUP_CAST_002,14,12106.58,75,160,True,Semiconductor_Shortage,False
PO_000021,2022-10-28,CONS_0550,Consumables,Low,SUP_CONS_001,376,14272.03,11,22,False,Semiconductor_Shortage,True
PO_000022,2023-10-09,ASSE_0462,Assembled_Kits,High,SUP_ASSY_003,13,113119.32,93,186,True,Semiconductor_Shortage,True
PO_000023,2023-08-28,ELEC_0205,Electronics_Components,High,SUP_ELEC_001,21,3954.17,102,218,False,Semiconductor_Shortage,False
PO_000024,2022-05-11,CONS_0593,Consumables,Low,SUP_CONS_002,142,5603.14,6,5,False,None,False
PO_000025,2024-04-05,LIGH_0413,Lights,Medium,SUP_LIGHT_001,43,12014.49,48,48,True,None,False
PO_000026,2022-03-26,ELEC_0238,Electronics_Components,High,SUP_ELEC_002,13,1536.17,85,191,False,Semiconductor_Shortage,False
PO_000027,2023-07-18,LIGH_0412,Lights,Medium,SUP_LIGHT_003,45,17856.16,32,34,True,None,False
PO_000028,2024-12-20,ASSE_0481,Assembled_Kits,Medium,SUP_ASSY_003,75,196222.92,173,317,False,Christmas_Shutdown,False
PO_000029,2023-02-26,CONS_0684,Consumables,Low,SUP_CONS_002,373,12159.57,9,7,True,None,True
PO_000030,2022-02-26,ASSE_0466,Assembled_Kits,High,SUP_ASSY_001,15,18001.72,84,90,True,Semiconductor_Shortage,False
PO_000031,2022-02-23,ELEC_0104,Electronics_Components,High,SUP_ELEC_001,75,14348.03,48,138,True,"Chinese_New_Year,Semiconductor_Shortage",False
PO_000032,2024-07-23,CONS_0560,Consumables,Low,SUP_CONS_001,154,1620.28,7,7,True,None,False
PO_000033,2024-03-27,CONS_0633,Consumables,Medium,SUP_CONS_004,758,17732.42,9,13,False,Tariff_Impact,False
PO_000034,2024-02-12,CONS_0528,Consumables,Low,SUP_CONS_001,3736,173271.93,4,4,False,Weather_Disruption,False
PO_000035,2022-12-09,ELEC_0107,Electronics_Components,Medium,SUP_ELEC_004,19,2573.4,49,106,True,Semiconductor_Shortage,False
PO_000036,2023-07-25,CONS_0507,Consumables,Medium,SUP_CONS_003,757,53092.65,7,14,False,Semiconductor_Shortage,False
PO_000037,2024-05-07,FORG_0396,Forgings,Low,SUP_FORG_001,2,1421.47,75,70,True,None,False
PO_000038,2024-04-03,CAST_0347,Castings,Low,SUP_CAST_001,6,1299.03,64,81,True,Tariff_Impact,False
PO_000039,2023-06-04,CONS_0665,Consumables,Medium,SUP_CONS_003,1506,13122.18,17,37,True,Semiconductor_Shortage,False
PO_000040,2022-02-20,SHEE_0057,Sheet_Metal,Low,SUP_SHEET_001,13,2630.04,17,35,False,"Chinese_New_Year,Semiconductor_Shortage",False
PO_000041,2024-10-09,CONS_0519,Consumables,Medium,SUP_CONS_002,383,21931.54,20,25,True,None,False
PO_000042,2022-11-25,CABL_0266,Cables,Medium,SUP_CABLE_001,37,816.01,50,122,True,Semiconductor_Shortage,False
PO_000043,2023-02-16,CONS_0626,Consumables,Medium,SUP_CONS_003,3733,221429.31,5,8,False,Semiconductor_Shortage,False
PO_000044,2022-01-08,LIGH_0406,Lights,Low,SUP_LIGHT_003,13,3406.77,22,65,False,"Weather_Disruption,Semiconductor_Shortage",False
PO_000045,2023-06-06,SHEE_0079,Sheet_Metal,High,SUP_SHEET_002,65,21052.43,17,20,True,None,False
PO_000046,2024-04-23,MACH_0045,Machined_Parts,Low,SUP_MACH_002,76,34260.1,27,25,True,None,False
PO_000047,2023-12-21,SHEE_0096,Sheet_Metal,Medium,SUP_SHEET_003,7,1405.75,19,121,True,"Tariff_Impact,Semiconductor_Shortage,Christmas_Shutdown",True
PO_000048,2022-08-14,CONS_0668,Consumables,Low,SUP_CONS_001,1514,49057.91,4,6,True,Semiconductor_Shortage,False
PO_000049,2023-03-28,CABL_0251,Cables,Medium,SUP_CABLE_002,1,103.05,23,30,False,Tariff_Impact,True
PO_000050,2022-11-27,MACH_0003,Machined_Parts,Low,SUP_MACH_004,6,3054.81,25,46,True,Semiconductor_Shortage,False
PO_000051,2024-06-29,CONS_0637,Consumables,Medium,SUP_CONS_003,3754,110170.63,5,5,False,None,False
PO_000052,2024-07-05,CONS_0531,Consumables,Medium,SUP_CONS_004,392,23672.42,19,21,True,None,False
PO_000053,2024-03-20,CONS_0525,Consumables,High,SUP_CONS_002,161,15937.53,18,19,False,None,False
PO_000054,2023-01-06,ASSE_0474,Assembled_Kits,Medium,SUP_ASSY_001,76,149501.48,137,587,True,"Weather_Disruption,Tariff_Impact,Semiconductor_Shortage",False
PO_000055,2022-07-20,CONS_0661,Consumables,Low,SUP_CONS_001,380,14919.96,3,7,False,Semiconductor_Shortage,False
PO_000056,2024-04-09,ELEC_0127,Electronics_Components,High,SUP_ELEC_001,74,12297.74,60,68,False,None,False
PO_000057,2024-09-06,CONS_0502,Consumables,Medium,SUP_CONS_001,738,22727.78,9,9,False,None,False
PO_000058,2024-01-05,ELEC_0235,Electronics_Components,Medium,SUP_ELEC_001,13,1782.26,35,76,False,"Chinese_New_Year,Weather_Disruption",False
PO_000059,2023-05-20,CONS_0623,Consumables,Low,SUP_CONS_003,369,12687.12,7,5,True,None,False
PO_000060,2024-12-03,CABL_0281,Cables,Low,SUP_CABLE_003,16,1039.11,16,18,False,None,False
PO_000061,2023-06-29,CONS_0668,Consumables,Low,SUP_CONS_001,1512,48250.53,4,8,True,Semiconductor_Shortage,False
PO_000062,2022-08-17,CONS_0510,Consumables,Low,SUP_CONS_003,402,8376.32,6,5,True,None,False
PO_000063,2024-01-19,ELEC_0144,Electronics_Components,Low,SUP_ELEC_004,160,13361.07,26,57,True,"Chinese_New_Year,Tariff_Impact",False
PO_000064,2024-12-16,CONS_0502,Consumables,Medium,SUP_CONS_001,748,22754.38,9,14,True,Christmas_Shutdown,False
PO_000065,2024-06-02,CONS_0558,Consumables,Medium,SUP_CONS_002,1519,104371.95,11,15,False,Tariff_Impact,False
PO_000066,2024-01-06,CONS_0582,Consumables,Medium,SUP_CONS_001,1489,60859.92,8,7,True,None,False
PO_000067,2024-02-29,SHEE_0091,Sheet_Metal,High,SUP_SHEET_003,1,307.55,24,15,True,None,False
PO_000068,2024-09-22,ELEC_0184,Electronics_Components,High,SUP_ELEC_004,14,395.98,108,99,True,None,False
PO_000069,2022-09-01,ELEC_0181,Electronics_Components,Medium,SUP_ELEC_001,13,898.25,49,52,True,None,False
PO_000070,2023-10-22,ASSE_0475,Assembled_Kits,Low,SUP_ASSY_003,3,10166.73,51,75,True,Semiconductor_Shortage,False
PO_000071,2022-10-02,CONS_0612,Consumables,High,SUP_CONS_002,764,34513.44,27,47,True,Semiconductor_Shortage,False
PO_000072,2022-12-27,CONS_0624,Consumables,Medium,SUP_CONS_002,765,16217.17,15,59,False,"Semiconductor_Shortage,Christmas_Shutdown",False
PO_000073,2022-06-26,LIGH_0406,Lights,Low,SUP_LIGHT_003,16,4296.48,22,50,True,Semiconductor_Shortage,False
PO_000074,2023-05-31,CONS_0685,Consumables,High,SUP_CONS_003,756,38621.55,23,43,False,Semiconductor_Shortage,False
PO_000075,2022-09-27,CONS_0609,Consumables,Medium,SUP_CONS_004,158,177.26,11,18,False,Semiconductor_Shortage,True
PO_000076,2024-03-08,LIGH_0429,Lights,Medium,SUP_LIGHT_002,36,13471.44,22,19,True,None,False
PO_000077,2023-09-07,CONS_0691,Consumables,High,SUP_CONS_004,353,18889.86,27,78,False,"Tariff_Impact,Semiconductor_Shortage",False
PO_000078,2022-09-14,SHEE_0077,Sheet_Metal,Low,SUP_SHEET_003,42,3471.01,20,36,True,Semiconductor_Shortage,False
PO_000079,2024-02-05,ELEC_0127,Electronics_Components,High,SUP_ELEC_001,75,12636.29,60,74,False,Chinese_New_Year,False
PO_000080,2022-12-09,ELEC_0193,Electronics_Components,High,SUP_ELEC_005,164,27183.73,111,113,True,None,False
PO_000081,2023-09-28,ASSE_0488,Assembled_Kits,Low,SUP_ASSY_003,1,3237.83,102,187,False,Semiconductor_Shortage,False
PO_000082,2023-07-07,MACH_0047,Machined_Parts,High,SUP_MACH_004,1,348.65,38,105,False,"Tariff_Impact,Semiconductor_Shortage",False
PO_000083,2022-11-03,CONS_0549,Consumables,Medium,SUP_CONS_001,157,6608.05,20,43,False,"Weather_Disruption,Semiconductor_Shortage",False
PO_000084,2022-04-29,ELEC_0244,Electronics_Components,High,SUP_ELEC_003,41,7838.32,87,192,True,Semiconductor_Shortage,False
PO_000085,2022-08-22,ELEC_0102,Electronics_Components,Low,SUP_ELEC_004,44,4023.54,47,56,False,None,False
PO_000086,2022-05-18,ELEC_0118,Electronics_Components,High,SUP_ELEC_002,391,41449.16,79,156,True,Semiconductor_Shortage,False
PO_000087,2024-10-28,ASSE_0477,Assembled_Kits,Medium,SUP_ASSY_001,43,257226.25,157,162,True,None,False
PO_000088,2022-10-31,CONS_0645,Consumables,Low,SUP_CONS_002,1499,12957.43,7,15,True,Semiconductor_Shortage,False
PO_000089,2022-04-26,CAST_0343,Castings,Low,SUP_CAST_001,14,8474.91,62,91,True,Semiconductor_Shortage,False
PO_000090,2022-10-21,ELEC_0103,Electronics_Components,Low,SUP_ELEC_003,67,3436.95,37,70,False,Semiconductor_Shortage,False
PO_000091,2024-07-16,CABL_0285,Cables,Medium,SUP_CABLE_001,7,350.21,32,32,False,None,False
PO_000092,2022-04-01,CAST_0323,Castings,High,SUP_CAST_002,38,10893.91,97,170,True,Semiconductor_Shortage,False
PO_000093,2024-06-09,CONS_0557,Consumables,Medium,SUP_CONS_003,3756,15762.59,13,16,False,Tariff_Impact,False
PO_000094,2022-04-21,CONS_0559,Consumables,Low,SUP_CONS_003,152,2788.94,3,2,False,None,False
PO_000095,2024-06-03,CABL_0285,Cables,Medium,SUP_CABLE_001,7,349.55,32,60,True,Tariff_Impact,False
PO_000096,2023-11-10,MACH_0007,Machined_Parts,High,SUP_MACH_002,1,945.6,50,131,True,"Tariff_Impact,Semiconductor_Shortage",True
PO_000097,2024-08-14,CONS_0535,Consumables,High,SUP_CONS_001,3715,208292.42,12,9,False,None,False
PO_000098,2023-08-10,CONS_0668,Consumables,Low,SUP_CONS_001,1519,50733.44,4,9,True,Semiconductor_Shortage,False
PO_000099,2022-12-25,ELEC_0110,Electronics_Components,Medium,SUP_ELEC_003,20,711.1,35,192,False,"Weather_Disruption,Semiconductor_Shortage,Christmas_Shutdown",True
PO_000100,2022-09-29,CONS_0667,Consumables,Medium,SUP_CONS_004,1533,55644.47,15,36,False,Semiconductor_Shortage,False
PO_000101,2022-06-15,CONS_0557,Consumables,Medium,SUP_CONS_003,3750,15044.08,13,13,False,None,False
PO_000102,2023-01-04,FORG_0381,Forgings,Medium,SUP_FORG_001,68,81830.8,53,94,True,Chinese_New_Year,False
PO_000103,2023-07-21,CONS_0502,Consumables,Medium,SUP_CONS_001,756,23625.35,9,12,True,Tariff_Impact,False
PO_000104,2022-06-25,ASSE_0459,Assembled_Kits,Medium,SUP_ASSY_003,3,10108.51,133,272,True,Semiconductor_Shortage,False
PO_000105,2024-12-18,LIGH_0433,Lights,Medium,SUP_LIGHT_003,42,3819.05,25,34,True,Christmas_Shutdown,False
PO_000106,2022-04-17,CONS_0678,Consumables,Medium,SUP_CONS_004,3810,129845.46,15,28,False,Semiconductor_Shortage,False
PO_000107,2023-07-01,CONS_0608,Consumables,Low,SUP_CONS_002,745,20465.07,8,15,False,Semiconductor_Shortage,False
PO_000108,2024-09-27,MACH_0007,Machined_Parts,High,SUP_MACH_002,2,1975.53,50,38,False,None,True
PO_000109,2023-07-27,CONS_0595,Consumables,Low,SUP_CONS_003,1502,51354.65,4,8,True,Semiconductor_Shortage,False
PO_000110,2024-02-29,CABL_0299,Cables,High,SUP_CABLE_003,40,815.2,40,69,False,Chinese_New_Year,False
PO_000111,2024-08-12,SHEE_0072,Sheet_Metal,Low,SUP_SHEET_002,30,3000.63,20,21,False,None,False
PO_000112,2023-05-27,CONS_0653,Consumables,Medium,SUP_CONS_002,775,51860.4,9,18,True,Semiconductor_Shortage,True
PO_000113,2022-01-15,ELEC_0206,Electronics_Components,Low,SUP_ELEC_005,74,2923.71,34,40,False,Weather_Disruption,True
PO_000114,2022-08-05,CONS_0536,Consumables,Medium,SUP_CONS_002,1515,58064.02,14,11,False,None,False
PO_000115,2023-11-10,CABL_0269,Cables,Medium,SUP_CABLE_002,12,389.46,30,54,False,Semiconductor_Shortage,False
PO_000116,2023-05-14,CONS_0560,Consumables,Low,SUP_CONS_001,160,1703.05,7,8,True,Tariff_Impact,False
PO_000117,2023-10-21,SHEE_0097,Sheet_Metal,Low,SUP_SHEET_003,1,89.63,18,33,False,Semiconductor_Shortage,False
PO_000118,2022-05-11,ELEC_0228,Electronics_Components,Medium,SUP_ELEC_002,150,3064.54,33,76,False,Semiconductor_Shortage,False
PO_000119,2024-05-21,LIGH_0446,Lights,Low,SUP_LIGHT_001,7,415.68,27,37,False,None,False
PO_000120,2022-06-13,SHEE_0059,Sheet_Metal,Medium,SUP_SHEET_001,9,1894.39,11,23,True,Semiconductor_Shortage,False
PO_000121,2022-01-21,FORG_0370,Forgings,Low,SUP_FORG_002,62,42070.08,62,71,True,None,False
PO_000122,2024-02-24,ELEC_0201,Electronics_Components,High,SUP_ELEC_001,13,2082.33,86,71,True,None,False
PO_000123,2022-11-11,CONS_0674,Consumables,Low,SUP_CONS_001,3811,49219.31,9,22,False,Semiconductor_Shortage,False
PO_000124,2023-05-21,CONS_0659,Consumables,Medium,SUP_CONS_004,377,22017.62,6,17,False,"Tariff_Impact,Semiconductor_Shortage",False
PO_000125,2022-11-25,SHEE_0067,Sheet_Metal,Medium,SUP_SHEET_001,15,3734.62,24,51,False,Semiconductor_Shortage,False
PO_000126,2023-02-25,ELEC_0102,Electronics_Components,Low,SUP_ELEC_004,33,2818.49,47,81,True,Semiconductor_Shortage,False
PO_000127,2024-04-27,LIGH_0408,Lights,Medium,SUP_LIGHT_001,78,24296.4,39,24,True,None,True
PO_000128,2024-02-19,CONS_0537,Consumables,Medium,SUP_CONS_001,3720,58901.49,7,10,False,Chinese_New_Year,False
PO_000129,2022-05-17,CONS_0655,Consumables,Low,SUP_CONS_004,1516,70359.86,11,20,True,Semiconductor_Shortage,False
PO_000130,2024-06-23,CAST_0326,Castings,Medium,SUP_CAST_002,6,3678.33,58,57,True,None,True
PO_000131,2024-01-24,ELEC_0241,Electronics_Components,Medium,SUP_ELEC_005,139,15865.19,62,113,False,"Chinese_New_Year,Tariff_Impact",False
PO_000132,2023-08-07,MACH_0023,Machined_Parts,Low,SUP_MACH_001,1,107.67,18,38,True,Semiconductor_Shortage,False
PO_000133,2023-05-09,SHEE_0052,Sheet_Metal,Medium,SUP_SHEET_003,40,8687.33,25,54,False,Semiconductor_Shortage,False
PO_000134,2023-04-04,CONS_0507,Consumables,Medium,SUP_CONS_003,734,50583.57,7,11,False,Semiconductor_Shortage,False
PO_000135,2024-01-08,CAST_0333,Castings,Medium,SUP_CAST_001,1,1122.3,91,213,False,"Chinese_New_Year,Tariff_Impact",False
PO_000136,2022-04-30,CABL_0285,Cables,Medium,SUP_CABLE_001,10,510.85,32,41,False,Semiconductor_Shortage,False
PO_000137,2023-01-22,ELEC_0155,Electronics_Components,High,SUP_ELEC_004,34,2387.1,82,338,False,"Chinese_New_Year,Semiconductor_Shortage",False
PO_000138,2022-04-17,ELEC_0246,Electronics_Components,Medium,SUP_ELEC_004,156,16736.77,53,112,True,Semiconductor_Shortage,False
PO_000139,2022-03-03,FORG_0374,Forgings,High,SUP_FORG_002,2,3916.5,87,167,True,Semiconductor_Shortage,False
PO_000140,2024-08-13,CABL_0266,Cables,Medium,SUP_CABLE_001,41,850.19,50,40,False,None,False
PO_000141,2023-09-26,CONS_0566,Consumables,Medium,SUP_CONS_003,1519,8733.92,5,10,False,Semiconductor_Shortage,False
PO_000142,2024-09-27,ELEC_0161,Electronics_Components,Low,SUP_ELEC_002,151,9450.13,35,34,True,None,False
PO_000143,2022-02-15,LIGH_0421,Lights,Low,SUP_LIGHT_001,17,2507.21,19,19,True,None,False
PO_000144,2022-01-21,CONS_0547,Consumables,Medium,SUP_CONS_001,741,48893.91,9,24,False,"Weather_Disruption,Semiconductor_Shortage",False
PO_000145,2023-08-14,MACH_0009,Machined_Parts,High,SUP_MACH_002,9,3017.32,46,40,False,None,False
PO_000146,2022-10-09,CONS_0587,Consumables,Medium,SUP_CONS_002,164,4891.05,15,22,True,Semiconductor_Shortage,False
PO_000147,2023-02-01,MACH_0050,Machined_Parts,Medium,SUP_MACH_002,68,37887.48,35,76,True,"Chinese_New_Year,Weather_Disruption",False
PO_000148,2022-12-07,MACH_0018,Machined_Parts,Low,SUP_MACH_002,6,942.11,14,31,False,Semiconductor_Shortage,False
PO_000149,2022-03-11,LIGH_0402,Lights,Medium,SUP_LIGHT_003,2,834.75,30,61,True,Semiconductor_Shortage,True
PO_000150,2023-02-19,CONS_0616,Consumables,Medium,SUP_CONS_002,145,5873.01,5,8,False,Semiconductor_Shortage,False
PO_000151,2024-12-13,MACH_0037,Machined_Parts,Medium,SUP_MACH_004,12,3516.74,28,28,False,None,False
PO_000152,2023-05-29,CONS_0623,Consumables,Low,SUP_CONS_003,369,13000.77,7,4,True,None,False
PO_000153,2024-08-26,ELEC_0170,Electronics_Components,High,SUP_ELEC_003,35,3295.21,54,58,False,None,False
PO_000154,2023-11-26,CAST_0324,Castings,Medium,SUP_CAST_001,41,25149.67,65,120,True,"Tariff_Impact,Thanksgiving_Week",False
PO_000155,2023-03-21,CONS_0686,Consumables,Low,SUP_CONS_003,756,37084.35,10,18,False,Semiconductor_Shortage,False
PO_000156,2023-05-05,LIGH_0412,Lights,Medium,SUP_LIGHT_003,36,14373.39,32,60,False,Semiconductor_Shortage,False
PO_000157,2024-11-26,CONS_0664,Consumables,Low,SUP_CONS_004,1529,36512.67,11,13,False,None,False
PO_000158,2024-11-30,LIGH_0403,Lights,High,SUP_LIGHT_003,17,6725.95,76,77,False,None,False
PO_000159,2024-12-15,FORG_0367,Forgings,Medium,SUP_FORG_002,39,57499.11,57,86,True,Weather_Disruption,False
PO_000160,2022-08-23,ELEC_0165,Electronics_Components,Low,SUP_ELEC_001,43,1255.6,52,136,False,Semiconductor_Shortage,False
PO_000161,2023-01-31,CONS_0507,Consumables,Medium,SUP_CONS_003,752,52867.93,7,10,True,Chinese_New_Year,False
PO_000162,2024-03-28,ELEC_0201,Electronics_Components,High,SUP_ELEC_001,14,2248.85,86,98,True,Tariff_Impact,False
PO_000163,2022-07-13,CONS_0605,Consumables,Low,SUP_CONS_003,3724,154035.5,3,2,False,None,False
PO_000164,2024-01-25,CONS_0532,Consumables,Low,SUP_CONS_002,1519,22849.37,9,10,True,Chinese_New_Year,True
PO_000165,2023-02-02,CABL_0286,Cables,Medium,SUP_CABLE_003,36,2716.85,46,133,True,"Tariff_Impact,Semiconductor_Shortage",False
PO_000166,2024-06-08,SHEE_0097,Sheet_Metal,Low,SUP_SHEET_003,1,92.99,18,31,False,Tariff_Impact,False
PO_000167,2024-01-05,LIGH_0429,Lights,Medium,SUP_LIGHT_002,41,14929.89,22,38,True,Chinese_New_Year,False
PO_000168,2022-07-19,CABL_0286,Cables,Medium,SUP_CABLE_003,37,2773.23,46,96,False,Semiconductor_Shortage,False
PO_000169,2022-10-10,CONS_0537,Consumables,Medium,SUP_CONS_001,3714,54766.76,7,16,False,Semiconductor_Shortage,False
PO_000170,2023-04-19,CONS_0599,Consumables,Medium,SUP_CONS_002,769,14786.1,5,4,False,None,False
PO_000171,2023-08-27,CONS_0673,Consumables,Medium,SUP_CONS_004,147,6635.5,14,43,False,"Tariff_Impact,Semiconductor_Shortage",False
PO_000172,2024-09-23,CONS_0604,Consumables,Low,SUP_CONS_003,146,6221.92,5,5,True,None,False
PO_000173,2024-11-24,LIGH_0413,Lights,Medium,SUP_LIGHT_001,37,10274.8,48,52,True,None,False
PO_000174,2022-01-12,CAST_0341,Castings,High,SUP_CAST_002,35,43412.52,102,245,False,Semiconductor_Shortage,False
PO_000175,2023-12-30,ELEC_0133,Electronics_Components,Medium,SUP_ELEC_005,17,1478.03,73,312,True,"Tariff_Impact,Semiconductor_Shortage,Christmas_Shutdown",False
PO_000176,2023-08-04,CAST_0306,Castings,Medium,SUP_CAST_002,13,10639.3,75,143,True,Semiconductor_Shortage,False
PO_000177,2022-05-02,MACH_0012,Machined_Parts,High,SUP_MACH_001,6,4517.5,43,88,True,Semiconductor_Shortage,False
PO_000178,2022-08-08,SHEE_0052,Sheet_Metal,Medium,SUP_SHEET_003,41,8416.04,25,23,False,None,False
PO_000179,2022-05-16,FORG_0391,Forgings,Medium,SUP_FORG_001,7,4126.19,125,363,False,Semiconductor_Shortage,False
PO_000180,2023-02-25,SHEE_0082,Sheet_Metal,Medium,SUP_SHEET_002,12,1168.52,18,46,True,"Chinese_New_Year,Semiconductor_Shortage",True
PO_000181,2023-07-03,LIGH_0411,Lights,High,SUP_LIGHT_003,1,416.51,61,146,False,Semiconductor_Shortage,False
PO_000182,2022-10-20,CONS_0558,Consumables,Medium,SUP_CONS_002,1510,109734.48,11,22,False,Semiconductor_Shortage,False
PO_000183,2022-10-08,ASSE_0461,Assembled_Kits,Medium,SUP_ASSY_001,2,14286.88,86,145,False,Semiconductor_Shortage,False
PO_000184,2023-12-22,CABL_0262,Cables,Low,SUP_CABLE_003,39,3167.77,21,37,False,Christmas_Shutdown,True
PO_000185,2024-03-24,ASSE_0483,Assembled_Kits,Medium,SUP_ASSY_003,35,247965.44,107,141,True,None,True
PO_000186,2022-10-07,SHEE_0094,Sheet_Metal,High,SUP_SHEET_001,2,567.98,29,67,True,Semiconductor_Shortage,False
PO_000187,2022-06-13,ELEC_0157,Electronics_Components,Low,SUP_ELEC_003,66,1938.44,31,56,False,Semiconductor_Shortage,False
PO_000188,2023-12-30,CONS_0566,Consumables,Medium,SUP_CONS_003,1513,8638.86,5,8,True,Christmas_Shutdown,False
PO_000189,2023-04-08,CONS_0523,Consumables,Low,SUP_CONS_002,773,11729.47,7,5,False,None,False
PO_000190,2023-06-06,MACH_0049,Machined_Parts,Low,SUP_MACH_002,19,6827.87,19,56,True,"Tariff_Impact,Semiconductor_Shortage",False
PO_000191,2023-03-05,CONS_0515,Consumables,Medium,SUP_CONS_001,765,54329.88,13,12,True,None,False
PO_000192,2022-11-14,CAST_0322,Castings,High,SUP_CAST_001,40,32996.7,65,57,False,None,False
PO_000193,2022-09-04,MACH_0011,Machined_Parts,High,SUP_MACH_001,38,23803.72,53,126,True,Semiconductor_Shortage,False
PO_000194,2023-09-24,CONS_0519,Consumables,Medium,SUP_CONS_002,356,20570.43,20,40,True,Semiconductor_Shortage,False
PO_000195,2022-11-17,LIGH_0405,Lights,High,SUP_LIGHT_002,1,101.16,51,109,True,Semiconductor_Shortage,False
PO_000196,2024-03-06,MACH_0045,Machined_Parts,Low,SUP_MACH_002,71,34386.13,27,22,True,None,False
PO_000197,2022-01-29,ELEC_0105,Electronics_Components,Medium,SUP_ELEC_003,37,2304.06,72,342,False,"Chinese_New_Year,Weather_Disruption,Semiconductor_Shortage",False
PO_000198,2022-04-07,ASSE_0482,Assembled_Kits,Low,SUP_ASSY_002,43,129087.5,109,264,False,Semiconductor_Shortage,False
PO_000199,2023-09-18,ELEC_0207,Electronics_Components,Medium,SUP_ELEC_005,158,23786.81,37,82,False,Semiconductor_Shortage,False
PO_000200,2022-05-31,FORG_0356,Forgings,Low,SUP_FORG_002,15,13261.32,59,83,False,Semiconductor_Shortage,False
PO_000201,2023-08-15,ELEC_0213,Electronics_Components,High,SUP_ELEC_005,372,812.96,80,97,True,None,False
PO_000202,2022-05-26,CONS_0505,Consumables,Medium,SUP_CONS_004,361,21503.29,7,14,True,Semiconductor_Shortage,False
PO_000203,2022-07-25,CABL_0271,Cables,Medium,SUP_CABLE_001,1,188.78,24,45,False,Semiconductor_Shortage,False
PO_000204,2022-12-12,ELEC_0202,Electronics_Components,High,SUP_ELEC_002,31,1106.48,69,59,True,None,False
PO_000205,2022-12-07,CONS_0684,Consumables,Low,SUP_CONS_002,373,12060.15,9,19,False,Semiconductor_Shortage,True
PO_000206,2022-03-29,CAST_0320,Castings,Low,SUP_CAST_002,7,1806.11,59,62,True,None,False
PO_000207,2023-04-15,ELEC_0214,Electronics_Components,Low,SUP_ELEC_001,10,91.72,32,48,True,Semiconductor_Shortage,True
PO_000208,2024-03-23,ELEC_0180,Electronics_Components,Low,SUP_ELEC_005,77,6239.94,50,50,False,None,False
PO_000209,2022-12-06,SHEE_0089,Sheet_Metal,Low,SUP_SHEET_001,13,2363.81,14,32,True,"Weather_Disruption,Semiconductor_Shortage",False
PO_000210,2023-10-10,CONS_0637,Consumables,Medium,SUP_CONS_003,3794,114363.16,5,4,False,None,False
PO_000211,2024-08-05,MACH_0046,Machined_Parts,Low,SUP_MACH_003,77,36883.0,19,17,False,None,False
PO_000212,2024-09-09,CAST_0317,Castings,Low,SUP_CAST_001,7,3832.94,50,41,False,None,False
